
                     __     _
   ____  __  _______/ /__  (_)
  / __ \/ / / / ___/ / _ \/ /
 / / / / /_/ / /__/ /  __/ /
/_/ /_/\__,_/\___/_/\___/_/   v3.8.0

		projectdiscovery.io

[INF] nuclei-templates are not installed, installing...
[INF] Successfully installed nuclei-templates at /root/nuclei-templates
[WRN] Found 7 templates with runtime error (use -validate flag for further examination)
[INF] Current nuclei version: v3.8.0 (latest)
[INF] Current nuclei-templates version: v10.4.4 (latest)
[INF] New templates added in latest release: 179
[INF] Templates loaded for current scan: 7132
[INF] Executing 7117 signed templates from projectdiscovery/nuclei-templates
[WRN] Loading 15 unsigned templates for scan. Use with caution.
[INF] Targets loaded for current scan: 1
[INF] Templates clustered: 1020 (Reduced 948 Requests)
[INF] Using Interactsh Server: oast.live
[0:00:05] | Templates: 7132 | Hosts: 1 | RPS: 106 | Matched: 0 | Errors: 2 | Requests: 566/14457 (3%)
[0:00:10] | Templates: 7132 | Hosts: 1 | RPS: 121 | Matched: 0 | Errors: 2 | Requests: 1260/14457 (8%)
[0:00:15] | Templates: 7132 | Hosts: 1 | RPS: 123 | Matched: 0 | Errors: 3 | Requests: 1894/14457 (13%)
[0:00:20] | Templates: 7132 | Hosts: 1 | RPS: 125 | Matched: 0 | Errors: 5 | Requests: 2554/14457 (17%)
[0:00:25] | Templates: 7132 | Hosts: 1 | RPS: 131 | Matched: 0 | Errors: 5 | Requests: 3320/14457 (22%)
[0:00:30] | Templates: 7132 | Hosts: 1 | RPS: 133 | Matched: 0 | Errors: 7 | Requests: 4037/14457 (27%)
[0:00:35] | Templates: 7132 | Hosts: 1 | RPS: 127 | Matched: 0 | Errors: 7 | Requests: 4492/14457 (31%)
[0:00:40] | Templates: 7132 | Hosts: 1 | RPS: 122 | Matched: 0 | Errors: 14 | Requests: 4929/14457 (34%)
[0:00:45] | Templates: 7132 | Hosts: 1 | RPS: 121 | Matched: 0 | Errors: 15 | Requests: 5510/14457 (38%)
[0:00:50] | Templates: 7132 | Hosts: 1 | RPS: 112 | Matched: 0 | Errors: 23 | Requests: 5681/14457 (39%)
[0:00:55] | Templates: 7132 | Hosts: 1 | RPS: 107 | Matched: 0 | Errors: 25 | Requests: 5974/14457 (41%)
